-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  21.4858   Longitude 39.1925 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,RH2M,WS2M
2024,1,1,0,19.51,0.0,0.0,0.0,61.74,2.96
2024,1,1,1,19.2,0.0,0.0,0.0,60.78,2.94
2024,1,1,2,18.98,0.0,0.0,0.0,60.14,2.91
2024,1,1,3,18.82,0.0,0.0,0.0,60.0,2.78
2024,1,1,4,18.76,0.0,0.0,0.0,60.43,2.62
2024,1,1,5,18.8,0.0,0.0,0.0,61.24,2.48
2024,1,1,6,18.96,0.0,0.0,0.0,62.23,2.28
2024,1,1,7,20.46,59.0,246.74,30.63,61.59,1.88
2024,1,1,8,24.12,264.38,652.12,66.86,47.35,2.02
2024,1,1,9,27.1,464.05,790.95,87.15,37.21,0.31
2024,1,1,10,29.42,622.08,866.74,96.48,32.74,1.53
2024,1,1,11,30.36,719.9,909.74,101.45,32.29,2.35
2024,1,1,12,30.86,736.08,842.31,132.53,32.92,2.88
2024,1,1,13,30.95,692.25,818.56,131.9,34.18,3.18
2024,1,1,14,30.7,580.6,772.64,117.35,35.88,3.29
2024,1,1,15,30.1,413.15,672.6,107.3,38.25,3.32
2024,1,1,16,29.05,212.57,468.46,81.82,41.78,3.21
2024,1,1,17,26.47,31.8,71.14,26.19,55.98,2.18
2024,1,1,18,24.64,0.0,0.0,0.0,63.87,2.16
2024,1,1,19,23.96,0.0,0.0,0.0,68.18,2.14
2024,1,1,20,23.43,0.0,0.0,0.0,72.29,1.91
2024,1,1,21,22.97,0.0,0.0,0.0,75.07,1.59
2024,1,1,22,22.62,0.0,0.0,0.0,75.75,1.34
2024,1,1,23,22.34,0.0,0.0,0.0,74.98,1.22
2024,1,2,0,22.09,0.0,0.0,0.0,74.15,1.21
2024,1,2,1,21.81,0.0,0.0,0.0,74.02,1.28
2024,1,2,2,21.5,0.0,0.0,0.0,74.3,1.33
2024,1,2,3,21.23,0.0,0.0,0.0,74.34,1.36
2024,1,2,4,21.07,0.0,0.0,0.0,73.94,1.32
2024,1,2,5,20.98,0.0,0.0,0.0,73.54,1.26
2024,1,2,6,20.98,0.0,0.0,0.0,73.12,1.15
2024,1,2,7,21.89,46.8,106.15,36.17,72.09,0.96
2024,1,2,8,24.32,222.93,383.53,106.09,60.65,0.7
2024,1,2,9,26.52,403.35,479.58,179.11,55.62,0.58
2024,1,2,10,27.92,555.28,575.32,197.49,52.96,1.46
2024,1,2,11,28.94,653.78,605.86,241.36,51.22,2.24
2024,1,2,12,29.5,700.15,690.3,187.41,50.28,2.88
2024,1,2,13,29.86,483.12,494.55,174.03,49.44,3.33
2024,1,2,14,29.86,441.58,373.44,227.63,48.97,3.64
2024,1,2,15,29.44,335.55,340.01,172.58,49.32,3.84
2024,1,2,16,28.5,178.1,292.11,95.95,51.51,3.88
2024,1,2,17,26.51,27.75,32.3,26.03,60.32,3.0
2024,1,2,18,24.84,0.0,0.0,0.0,67.05,3.05
2024,1,2,19,24.11,0.0,0.0,0.0,68.41,3.63
2024,1,2,20,23.52,0.0,0.0,0.0,69.7,3.85
2024,1,2,21,22.9,0.0,0.0,0.0,71.17,3.67
2024,1,2,22,22.28,0.0,0.0,0.0,72.29,3.32
2024,1,2,23,21.68,0.0,0.0,0.0,73.29,2.96
2024,1,3,0,21.12,0.0,0.0,0.0,74.23,2.71
2024,1,3,1,20.65,0.0,0.0,0.0,75.21,2.56
2024,1,3,2,20.26,0.0,0.0,0.0,76.08,2.51
2024,1,3,3,19.95,0.0,0.0,0.0,77.21,2.3
2024,1,3,4,19.73,0.0,0.0,0.0,78.27,2.17
2024,1,3,5,19.53,0.0,0.0,0.0,79.13,2.11
2024,1,3,6,19.31,0.0,0.0,0.0,79.98,2.06
