latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.476273,39.16241,7.0,10800,Asia/Riyadh,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),diffuse_radiation (W/m²),wind_speed_10m (m/s)
2024-01-01T00:00,20.3,66,0.0,0.0,0.0,4.17
2024-01-01T01:00,19.9,69,0.0,0.0,0.0,4.08
2024-01-01T02:00,19.7,63,0.0,0.0,0.0,4.34
2024-01-01T03:00,19.6,60,0.0,0.0,0.0,4.53
2024-01-01T04:00,20.4,61,0.0,0.0,0.0,3.53
2024-01-01T05:00,20.2,61,0.0,0.0,0.0,3.49
2024-01-01T06:00,19.9,63,0.0,0.0,0.0,3.79
2024-01-01T07:00,19.4,66,0.0,0.0,0.0,3.73
2024-01-01T08:00,20.7,62,49.0,156.9,30.0,3.32
2024-01-01T09:00,23.6,50,222.0,461.0,86.0,3.41
2024-01-01T10:00,26.0,42,413.0,634.3,115.0,4.30
2024-01-01T11:00,27.8,38,568.0,723.3,132.0,4.88
2024-01-01T12:00,29.0,36,666.0,766.4,141.0,4.92
2024-01-01T13:00,29.6,36,697.0,778.0,144.0,5.14
2024-01-01T14:00,29.5,40,656.0,762.0,139.0,6.15
2024-01-01T15:00,28.9,45,550.0,709.9,131.0,7.14
2024-01-01T16:00,27.9,52,386.0,599.6,115.0,7.39
2024-01-01T17:00,27.2,55,197.0,424.6,81.0,7.07
2024-01-01T18:00,26.5,58,36.0,109.9,24.0,6.17
2024-01-01T19:00,26.1,59,0.0,0.0,0.0,5.91
2024-01-01T20:00,25.6,61,0.0,0.0,0.0,5.20
2024-01-01T21:00,25.0,63,0.0,0.0,0.0,4.73
2024-01-01T22:00,24.3,66,0.0,0.0,0.0,4.20
2024-01-01T23:00,23.6,69,0.0,0.0,0.0,3.83
2024-01-02T00:00,22.8,73,0.0,0.0,0.0,3.62
2024-01-02T01:00,22.1,75,0.0,0.0,0.0,3.55
2024-01-02T02:00,21.7,74,0.0,0.0,0.0,3.38
2024-01-02T03:00,21.4,72,0.0,0.0,0.0,3.30
2024-01-02T04:00,21.9,69,0.0,0.0,0.0,3.00
2024-01-02T05:00,21.7,70,0.0,0.0,0.0,3.04
2024-01-02T06:00,21.3,71,0.0,0.0,0.0,3.04
2024-01-02T07:00,21.1,72,0.0,0.0,0.0,3.18
2024-01-02T08:00,22.3,66,47.0,149.2,29.0,3.19
2024-01-02T09:00,24.6,59,215.0,431.6,88.0,3.40
2024-01-02T10:00,26.4,57,400.0,607.2,115.0,4.40
2024-01-02T11:00,27.5,54,553.0,691.7,136.0,5.09
2024-01-02T12:00,28.0,54,637.0,698.7,158.0,4.80
2024-01-02T13:00,28.6,52,679.0,737.5,154.0,4.27
2024-01-02T14:00,28.4,54,591.0,592.6,188.0,5.72
2024-01-02T15:00,27.7,56,437.0,466.2,161.0,6.55
2024-01-02T16:00,27.7,55,369.0,541.7,123.0,5.84
2024-01-02T17:00,27.0,58,196.0,413.8,82.0,5.80
2024-01-02T18:00,26.1,63,37.0,117.8,24.0,5.72
2024-01-02T19:00,25.5,66,0.0,0.0,0.0,5.73
2024-01-02T20:00,25.1,67,0.0,0.0,0.0,5.41
2024-01-02T21:00,24.6,67,0.0,0.0,0.0,5.02
2024-01-02T22:00,24.1,67,0.0,0.0,0.0,5.10
2024-01-02T23:00,23.6,68,0.0,0.0,0.0,5.40
2024-01-03T00:00,23.0,71,0.0,0.0,0.0,5.32
2024-01-03T01:00,22.4,74,0.0,0.0,0.0,5.20
2024-01-03T02:00,21.5,75,0.0,0.0,0.0,4.83
2024-01-03T03:00,20.8,74,0.0,0.0,0.0,4.58
2024-01-03T04:00,21.6,66,0.0,0.0,0.0,4.70
2024-01-03T05:00,21.4,65,0.0,0.0,0.0,4.79
2024-01-03T06:00,20.9,65,0.0,0.0,0.0,4.72
2024-01-03T07:00,20.5,66,0.0,0.0,0.0,4.74
2024-01-03T08:00,21.4,62,49.0,158.1,30.0,4.55
2024-01-03T09:00,23.6,52,223.0,466.7,86.0,4.70
2024-01-03T10:00,25.4,48,419.0,650.2,114.0,5.47
2024-01-03T11:00,26.6,43,579.0,749.5,127.0,5.36
2024-01-03T12:00,27.5,40,676.0,782.5,139.0,5.64
2024-01-03T13:00,27.9,41,709.0,792.4,144.0,6.36
2024-01-03T14:00,27.6,47,671.0,779.1,140.0,6.94
2024-01-03T15:00,27.1,51,564.0,730.6,130.0,7.44
2024-01-03T16:00,26.8,56,393.0,613.5,113.0,7.22
2024-01-03T17:00,26.1,59,202.0,431.8,82.0,6.74
2024-01-03T18:00,25.4,61,38.0,125.4,24.0,5.74
2024-01-03T19:00,25.2,62,0.0,0.0,0.0,5.01
2024-01-03T20:00,24.8,63,0.0,0.0,0.0,3.83
2024-01-03T21:00,24.3,64,0.0,0.0,0.0,3.59
2024-01-03T22:00,23.7,66,0.0,0.0,0.0,3.30
2024-01-03T23:00,23.0,68,0.0,0.0,0.0,3.20
2024-01-04T00:00,22.5,69,0.0,0.0,0.0,3.36
2024-01-04T01:00,22.1,69,0.0,0.0,0.0,3.52
2024-01-04T02:00,21.6,71,0.0,0.0,0.0,3.48
2024-01-04T03:00,21.0,75,0.0,0.0,0.0,3.61
2024-01-04T04:00,21.3,74,0.0,0.0,0.0,3.02
2024-01-04T05:00,21.1,73,0.0,0.0,0.0,3.41
2024-01-04T06:00,20.9,72,0.0,0.0,0.0,3.36
2024-01-04T07:00,20.6,71,0.0,0.0,0.0,3.18
2024-01-04T08:00,22.4,63,47.0,141.9,30.0,3.13
2024-01-04T09:00,24.9,48,217.0,447.2,86.0,3.13
2024-01-04T10:00,26.8,39,407.0,624.9,114.0,3.20
2024-01-04T11:00,27.8,36,561.0,712.7,131.0,1.79
2024-01-04T12:00,28.8,36,660.0,754.0,142.0,2.57
2024-01-04T13:00,29.2,37,692.0,767.2,144.0,3.90
2024-01-04T14:00,28.8,42,657.0,756.7,140.0,5.40
2024-01-04T15:00,28.3,45,543.0,684.5,135.0,5.10
2024-01-04T16:00,28.0,50,393.0,612.6,112.0,4.67
2024-01-04T17:00,27.4,55,203.0,435.1,81.0,4.60
2024-01-04T18:00,26.6,60,39.0,124.0,25.0,4.00
2024-01-04T19:00,26.4,64,0.0,0.0,0.0,3.30
2024-01-04T20:00,26.1,66,0.0,0.0,0.0,2.73
2024-01-04T21:00,25.8,67,0.0,0.0,0.0,2.18
2024-01-04T22:00,25.1,69,0.0,0.0,0.0,2.10
2024-01-04T23:00,24.2,74,0.0,0.0,0.0,2.72
2024-01-05T00:00,23.4,77,0.0,0.0,0.0,1.12
2024-01-05T01:00,22.4,85,0.0,0.0,0.0,0.41
2024-01-05T02:00,21.7,87,0.0,0.0,0.0,3.00
2024-01-05T03:00,21.5,86,0.0,0.0,0.0,3.00
2024-01-05T04:00,22.0,79,0.0,0.0,0.0,2.64
2024-01-05T05:00,22.1,79,0.0,0.0,0.0,2.76
2024-01-05T06:00,21.7,82,0.0,0.0,0.0,2.60
2024-01-05T07:00,21.2,84,0.0,0.0,0.0,2.24
2024-01-05T08:00,21.9,81,45.0,134.0,29.0,2.01
2024-01-05T09:00,23.5,71,214.0,441.2,85.0,1.78
2024-01-05T10:00,24.9,65,398.0,595.2,119.0,1.77
2024-01-05T11:00,26.0,62,549.0,679.2,139.0,1.97
2024-01-05T12:00,27.0,59,649.0,725.5,150.0,3.82
2024-01-05T13:00,27.4,56,670.0,702.9,167.0,5.14
2024-01-05T14:00,27.3,57,616.0,686.1,146.0,5.83
2024-01-05T15:00,27.0,60,506.0,590.1,153.0,7.02
2024-01-05T16:00,27.7,55,364.0,503.2,132.0,6.74
2024-01-05T17:00,27.1,55,204.0,427.8,83.0,6.10
2024-01-05T18:00,26.3,58,40.0,122.6,26.0,5.51
2024-01-05T19:00,26.0,59,0.0,0.0,0.0,5.22
2024-01-05T20:00,25.6,60,0.0,0.0,0.0,4.10
2024-01-05T21:00,25.0,62,0.0,0.0,0.0,4.06
2024-01-05T22:00,24.3,66,0.0,0.0,0.0,3.92
2024-01-05T23:00,23.6,70,0.0,0.0,0.0,3.72
2024-01-06T00:00,23.0,73,0.0,0.0,0.0,3.67
2024-01-06T01:00,22.5,74,0.0,0.0,0.0,3.80
2024-01-06T02:00,22.1,75,0.0,0.0,0.0,3.98
2024-01-06T03:00,21.8,75,0.0,0.0,0.0,3.85
2024-01-06T04:00,22.5,73,0.0,0.0,0.0,4.03
2024-01-06T05:00,22.1,75,0.0,0.0,0.0,3.86
2024-01-06T06:00,21.5,77,0.0,0.0,0.0,3.49
2024-01-06T07:00,21.2,78,0.0,0.0,0.0,3.79
2024-01-06T08:00,22.3,73,46.0,142.7,29.0,4.41
2024-01-06T09:00,24.6,63,215.0,445.4,85.0,4.87
2024-01-06T10:00,26.6,55,403.0,614.4,115.0,6.05
2024-01-06T11:00,28.0,48,553.0,690.3,136.0,6.24
2024-01-06T12:00,29.2,43,659.0,749.2,143.0,6.61
2024-01-06T13:00,29.8,43,693.0,761.5,147.0,6.56
2024-01-06T14:00,29.1,52,653.0,744.0,142.0,7.36
2024-01-06T15:00,28.5,55,514.0,619.6,142.0,7.14
2024-01-06T16:00,27.9,59,375.0,550.3,120.0,7.50
2024-01-06T17:00,27.1,64,179.0,308.4,91.0,6.44
2024-01-06T18:00,26.5,67,37.0,95.2,26.0,5.59
2024-01-06T19:00,26.4,67,0.0,0.0,0.0,5.61
2024-01-06T20:00,26.2,67,0.0,0.0,0.0,4.27
2024-01-06T21:00,25.9,68,0.0,0.0,0.0,3.59
2024-01-06T22:00,25.3,71,0.0,0.0,0.0,3.13
2024-01-06T23:00,24.7,72,0.0,0.0,0.0,3.76
